ligne_xlsx;classe;alliance;alliance_brut;auteurs;cd_hab;typologie;code_habref;nom_habref;ancre_cd_hab;ancre_typologie;ancre_code;corine_cd_hab;corine_code;corine_nom;corine_autres;eunis_cd_hab;eunis_code;eunis_nom;eunis_autres;hic_cd_hab;hic_code;hic_nom;cahiers_cd_hab;cahiers_code;cahiers_nom;condition_n2000
3;Charetea fragilis;Nitellion flexilis;Nitellion flexilis;W. Krause 1969;16480;PVF1;18.0.1.0.1;Nitellion flexilis;;;;9403;22.442;Tapis de Nitella;;10829;C1.142;Tapis de Nitella;;2757;3140;Eaux oligo-mésotrophes calcaires avec végétation benthique à Chara spp.;;;;
4;Charetea fragilis;Nitellion syncarpo-tenuissimae;Nitellion syncarpo-tenuissimae;Krause 1969;16481;PVF1;18.0.1.0.2;Nitellion syncarpo-tenuissimae;;;;9403;22.442;Tapis de Nitella;;10829;C1.142;Tapis de Nitella;;2757;3140;Eaux oligo-mésotrophes calcaires avec végétation benthique à Chara spp.;;;;
5;Charetea fragilis;Charion vulgaris;Charion vulgaris;Krause 1969;16483;PVF1;18.0.2.0.2;Charion vulgaris;;;;3950;22.44;Tapis immergés de Characées;;4834;C1.25;Tapis immergés de Charophytes des plans d'eau mésotrophes;C1.141;2757;3140;Eaux oligo-mésotrophes calcaires avec végétation benthique à Chara spp.;;;;
6;Charetea fragilis;Charion fragilis;"Charion fragilis (! Nommé ""Charion intermediae"" dans le catalogue des Habitats d'Ariège GC)";(Krause ex Krause & Lang 1977) Krause 1981;16482;PVF1;18.0.2.0.1;Charion fragilis;;;;3950;22.44;Tapis immergés de Characées;;4834;C1.25;Tapis immergés de Charophytes des plans d'eau mésotrophes;;2757;3140;Eaux oligo-mésotrophes calcaires avec végétation benthique à Chara spp.;;;;
8;Lemnetea minoris;Lemnion minoris;Lemnion minoris;O. Bolòs & Masclans 1955;16604;PVF1;37.0.1.0.1;Lemnion minoris;;;;3972;22.41;Végétations flottant librement;;4841;C1.32;Végétations flottant librement des plans d'eau eutrophes;;;;;8901;3150-3;Plans d'eau eutrophes avec dominance de macrophytes libres flottant à la surface de l'eau;"uniquement pour les végétations d'eaux stagnantes non
connectées à un cours d'eau"
9;Lemnetea minoris;Hydrocharition morsus-ranae;Hydrocharition morsus-ranae;Rübel ex Klika in Klika & Hadac 1944;16606;PVF1;37.0.1.0.3;Hydrocharition morsus-ranae;;;;3972;22.41;Végétations flottant librement;;4809;C1.22;Végétations flottant librement des plans d'eau mésotrophes;;2758;3150;Lacs eutrophes naturels avec végétation du Magnopotamion ou de l'Hydrocharition;;;;
11;Potametea pectinati;Potamion polygonifolii;Potamion polygonifolii;;16381;PVF1;55.0.1.0.3;Potamion polygonifolii;;;;9401;22.433;Groupements oligotrophes de Potamots;;10822;C1.131;Communautés des eaux oligotrophes à Potamots;;2767;3260;Rivières des étages planitiaire à montagnard avec végétation du Ranunculion fluitantis et du Callitricho-Batrachion;;;;
12;Potametea pectinati;Batrachion fluitantis;Batrachion fluitantis;Neuhäusl 1959;16383;PVF1;55.0.1.0.5;Batrachion fluitantis;;;;1215;22.4;Végétations aquatiques;24.4;586;C1;Eaux dormantes de surface;C2;2767;3260;Rivières des étages planitiaire à montagnard avec végétation du Ranunculion fluitantis et du Callitricho-Batrachion;;;;
13;Potametea pectinati;Ranunculion aquatilis;Ranunculion aquatilis;"H. Passarge ex Theurillat in Theurillat, Mucina & Hájek 2015
Mucina & Hájek 2015
Mucina & Hájek 2015";16382;PVF1;55.0.1.0.4;Ranunculion aquatilis;;;;9424;22.432;Communautés flottantes des eaux peu profondes;;17546;C1.3411;Communautés des eaux peu profondes à Ranunculus;;;;;;;;
14;Potametea pectinati;Potamion pectinati;Potamion pectinati;(W. Koch 1926) Libbert 1931;16380;PVF1;55.0.1.0.2;Potamion pectinati;;;;9421;22.421;Groupements de grands Potamots;;10843;C1.231;Formations à grands Potamots;;2758;3150;Lacs eutrophes naturels avec végétation du Magnopotamion ou de l'Hydrocharition;;;;
